id,s2_doy,doy,main_stage,main_stage_percent,secondary_stage,secondary_stage_percent,root_est,leaf_devel,squaring,flowering,boll_devel,boll_open,metalabel,sowing_date,harvest_date
12,198,197,4,100,5,10.0,0,0,0,2,1,0,11,22/4/2021,25/9/2021
12,203,204,4,100,5,20.0,0,0,0,2,1,0,11,22/4/2021,25/9/2021
12,205,204,4,100,5,20.0,0,0,0,2,1,0,11,22/4/2021,25/9/2021
12,218,219,4,100,5,60.0,0,0,0,2,1,0,11,22/4/2021,25/9/2021
12,220,219,4,100,5,60.0,0,0,0,2,1,0,11,22/4/2021,25/9/2021
12,230,231,5,100,4,100.0,0,0,0,1,2,0,12,22/4/2021,25/9/2021
12,238,238,5,100,6,10.0,0,0,0,0,2,1,14,22/4/2021,25/9/2021
12,248,248,5,100,6,60.0,0,0,0,0,2,1,14,22/4/2021,25/9/2021
12,258,259,6,100,5,30.0,0,0,0,0,1,2,15,22/4/2021,25/9/2021
12,260,259,6,100,5,30.0,0,0,0,0,1,2,15,22/4/2021,25/9/2021
13,130,131,2,100,0,,0,2,0,0,0,0,4,30/4/2021,21/9/2021
13,140,140,2,100,0,,0,2,0,0,0,0,4,30/4/2021,21/9/2021
13,148,148,2,100,0,,0,2,0,0,0,0,4,30/4/2021,21/9/2021
13,153,153,2,100,0,,0,2,0,0,0,0,4,30/4/2021,21/9/2021
13,158,159,2,100,0,,0,2,0,0,0,0,4,30/4/2021,21/9/2021
13,160,159,2,100,0,,0,2,0,0,0,0,4,30/4/2021,21/9/2021
13,168,167,2,100,0,,0,2,0,0,0,0,4,30/4/2021,21/9/2021
13,173,174,3,100,0,,0,0,2,0,0,0,7,30/4/2021,21/9/2021
13,175,174,3,100,0,,0,0,2,0,0,0,7,30/4/2021,21/9/2021
13,183,184,3,100,0,,0,0,2,0,0,0,7,30/4/2021,21/9/2021
13,185,184,3,100,0,,0,0,2,0,0,0,7,30/4/2021,21/9/2021
13,193,194,4,100,5,20.0,0,0,0,2,1,0,11,30/4/2021,21/9/2021
13,195,194,4,100,5,20.0,0,0,0,2,1,0,11,30/4/2021,21/9/2021
13,200,201,4,100,5,30.0,0,0,0,2,1,0,11,30/4/2021,21/9/2021
13,215,215,4,100,5,80.0,0,0,0,2,1,0,11,30/4/2021,21/9/2021
13,223,223,4,100,5,100.0,0,0,0,2,1,0,11,30/4/2021,21/9/2021
13,235,235,5,100,6,10.0,0,0,0,0,2,1,14,30/4/2021,21/9/2021
13,245,246,5,100,6,40.0,0,0,0,0,2,1,14,30/4/2021,21/9/2021
13,255,256,6,100,5,100.0,0,0,0,0,1,2,15,30/4/2021,21/9/2021
